stadtplanadresse;standort;plz;laengengrad;breitengrad
Weimarische Straße 15, 10715 Berlin;Weimarische Straße im wendelkreis zwischen Nr.12 und 15;10715;13,32428;52,47809
Heilmannring 32, 13627 Berlin ;Heilmannring 32;13627;13,29041;52,53639
Mannheimerstr. 28,  10713 Berlin;Mannheimerstr/Berlinerstr;10713;13,31573;52,48511
Spandauer Damm 125, 14050 Berlin;Spandauer Damm/Ecke Ahornallee;14050;13,27813;52,51818
Heerstr. 20, 14052;Heerstr. 20;14052;13,26574;52,50907
Westendallee 62, 14052 Berlin;Wesendallee/Ecke Marathonallee;14052;13,25541;52,51492
Erdenerstr. 12, 14193 Berlin;Erdener Straße/ Ecke Trabener Straße;14193;13,27193;52,49119
Heidelberger Platz, 10715;Heidelberger Platz/ Höhe U-bahn Eingang;14197;13,31246;52,47884
Witzlebenstr. 1, 14057 Berlin;Witzleben Straße 1;14057;13,29564;52,51068
Seesenerstr. 50,  10711;Seesener Straße 50;10711;13,29546;52,49338
Eisenzahn Straße 60, 10709;Eisenzahn Straße gegenüber Hausnummer 60 ;10707;13,30514;52,49699
Württembergallee 15, 14052 Berlin;Württembergallee 15;14052;13,2596;52,51239
Jungfernheideweg 49, 13629;Jungfernheideweg gegenüber Nr. 49;13629;13,2737;52,54203
Westfälischestr. 70, 10709 Berlin;Westfälische Straße 70;10709;13,29929;52,49504
Westfälischestr. 61, 10709 Berlin;Westfälische Straße/ Ecke Joachim-Friedrich-Straße;10709;13,29608;52,49581
