id,publish_up,title,category,zip,city,street,latitude,longitude,address,icon
105405,0000-00-00 00:00:00,Gustav-Meyer-Str. / Nähe Altensteinstr.,BR Iglus,14195,Berlin,Gustav-Meyer-Str. / Nähe Altensteinstr.,52.456785,13.301321,14195 Berlin Gustav-Meyer-Str. / Nähe Altensteinstr.,glass_container_enabled.png
105406,0000-00-00 00:00:00,Kön.-Luise-Str. 22 / Arnimallee / Nähe ARAL,BR Iglus,14195,Berlin,Kön.-Luise-Str. 22 / Arnimallee / Nähe ARAL,52.456728,13.298919,14195 Berlin Kön.-Luise-Str. 22 / Arnimallee / Nähe ARAL,glass_container_enabled.png
105407,0000-00-00 00:00:00,Pacelliallee ggü. Nr. 57 / Nähe ggü. Drosselweg,BR Iglus,14195,Berlin,Pacelliallee ggü. Nr. 57 / Nähe ggü. Drosselweg,52.45999,13.286963,14195 Berlin Pacelliallee ggü. Nr. 57 / Nähe ggü. Drosselweg,glass_container_enabled.png
106612,0000-00-00 00:00:00,Uhlandstraße 127,BR Iglus,10717,Berlin,Uhlandstraße 127,52.491457,13.323402,10717 Berlin Uhlandstraße 127,glass_container_enabled.png
106613,0000-00-00 00:00:00,Kudowastr. / Ecke Paulsborner Str.,BR Iglus,14199,Berlin,Kudowastr. / Ecke Paulsborner Str.,52.4901916,13.2918283,14199 Berlin Kudowastr. / Ecke Paulsborner Str.,glass_container_enabled.png
106614,0000-00-00 00:00:00,Heilmannring 32,BR Iglus,13627,Berlin,Heilmannring 32,52.536515,13.290453,13627 Berlin Heilmannring 32,glass_container_enabled.png
106615,0000-00-00 00:00:00,Mannheimer Straße – Berliner Straße,BR Iglus,10713,Berlin,Mannheimer Straße – Berliner Straße,52.486674,13.315669,10713 Berlin Mannheimer Straße – Berliner Straße,glass_container_enabled.png
106616,0000-00-00 00:00:00,Spandauer Damm - Ahornallee,BR Iglus,14050,Berlin,Spandauer Damm - Ahornallee,52.518243,13.278087,14050 Berlin Spandauer Damm - Ahornallee,glass_container_enabled.png
106617,0000-00-00 00:00:00,Heerstraße 20,BR Iglus,14052,Berlin,Heerstraße 20,52.50909,13.265814,14052 Berlin Heerstraße 20,glass_container_enabled.png
106618,0000-00-00 00:00:00,"Heidelberger Platz, Höhe U-Bahn Eingang",BR Iglus,14197,Berlin,"Heidelberger Platz, Höhe U-Bahn Eingang",52.479007,13.312382,"14197 Berlin Heidelberger Platz, Höhe U-Bahn Eingang",glass_container_enabled.png
106619,0000-00-00 00:00:00,Suarezstr. 64 Höhe Apotheke,BR Iglus,14057,Berlin,Suarezstr. 64 Höhe Apotheke,52.5103421,13.2974495,14057 Berlin Suarezstr. 64 Höhe Apotheke,glass_container_enabled.png
106620,0000-00-00 00:00:00,Seesener Straße 50,BR Iglus,10711,Berlin,Seesener Straße 50,52.510668,13.29562,10711 Berlin Seesener Straße 50,glass_container_enabled.png
106621,0000-00-00 00:00:00,Jungfernheideweg ggü. Haus-Nr. 49,BR Iglus,13629,Berlin,Jungfernheideweg ggü. Haus-Nr. 49,52.542452,13.273805,13629 Berlin Jungfernheideweg ggü. Haus-Nr. 49,glass_container_enabled.png
106622,0000-00-00 00:00:00,Westfälische Str. / Nestorstr.,BR Iglus,10709,Berlin,Westfälische Str. / Nestorstr.,52.495258,13.299549,10709 Berlin Westfälische Str. / Nestorstr.,glass_container_enabled.png
106623,0000-00-00 00:00:00,Erdener Str. / Trabender Str.,BR Iglus,14193,Berlin,Erdener Str. / Trabender Str.,52.491244,13.271846,14193 Berlin Erdener Str. / Trabender Str.,glass_container_enabled.png
106624,0000-00-00 00:00:00,Preußenallee 24,BR Iglus,14052,Berlin,Preußenallee 24,52.51308,13.25973,14052 Berlin Preußenallee 24,glass_container_enabled.png
106625,0000-00-00 00:00:00,Paulsborner Str / Eisenzahnstr.,BR Iglus,10709,Berlin,Paulsborner Str / Eisenzahnstr.,52.496756,13.305262,10709 Berlin Paulsborner Str / Eisenzahnstr.,glass_container_enabled.png
106626,0000-00-00 00:00:00,Westfälische Str. / Joachim-Friedrich-Str.,BR Iglus,10709,Berlin,Westfälische Str. / Joachim-Friedrich-Str.,52.495777,13.296203,10709 Berlin Westfälische Str. / Joachim-Friedrich-Str.,glass_container_enabled.png
106627,0000-00-00 00:00:00,Oldenburgallee 8 / Marathonallee,BR Iglus,14052,Berlin,Oldenburgallee 8 / Marathonallee,52.5149104,13.2572347,14052 Berlin Oldenburgallee 8 / Marathonallee,glass_container_enabled.png
106648,0000-00-00 00:00:00,Brettnacher Str. 1 - neben dem Haus Nummer 1 Richtung Wendekreis,BR Iglus,14167,Berlin,Brettnacher Str. 1 - neben dem Haus Nummer 1 Richtung Wendekreis,52.4328411,13.2789672,14167 Berlin Brettnacher Str. 1 - neben dem Haus Nummer 1 Richtung Wendekreis,glass_container_enabled.png
106649,0000-00-00 00:00:00,Wohngebiet Höhe Jänickestr. 8,BR Iglus,14167,Berlin,Wohngebiet Höhe Jänickestr. 8,52.43241,13.27505,14167 Berlin Wohngebiet Höhe Jänickestr. 8,glass_container_enabled.png
106651,0000-00-00 00:00:00,Betriebsstätte SOLA Sonderabfallzwischenlager,BR Betriebstelle,,,,52.53149,13.23706,"Freiheit 24–25, 13597 Berlin",red-dot.png
106652,0000-00-00 00:00:00,Aachener Str. / Mecklenburgische Str.,BR Iglus,10713,Berlin,Aachener Str. / Mecklenburgische Str.,52.4827778,13.318271600000003,10713 Berlin Aachener Str. / Mecklenburgische Str.,glass_container_enabled.png
106653,0000-00-00 00:00:00,Ackerstraße 35/ Anklamer Str.,BR Iglus,10115,Ackerstraße 35/ Anklamer Str.,,52.534475,13.392301,10115 Berlin Ackerstraße 35/ Anklamer Str.,glass_container_enabled.png
106654,0000-00-00 00:00:00,Ackerstr. zwischen Invalidenstr. und Elisabeth-Kirch-Str.,BR Iglus,10115,Ackerstr. zwischen Invalidenstr. und Elisabeth-Kirch-Str.,,52.532649,13.395897,10115 Berlin Ackerstr. zwischen Invalidenstr. und Elisabeth-Kirch-Str.,glass_container_enabled.png
106655,0000-00-00 00:00:00,Anna-Louisa-Karsch-Straße / Spandauer Straße,BR Iglus,10178,Anna-Louisa-Karsch-Straße / Spandauer Straße,,52.521527,13.40346,10178 Berlin Anna-Louisa-Karsch-Straße / Spandauer Straße,glass_container_enabled.png
106656,0000-00-00 00:00:00,Annenstr. 4/ Schmidtstr.,BR Iglus,10179,Annenstr. 4/ Schmidtstr.,,52.507298,13.415778,10179 Berlin Annenstr. 4/ Schmidtstr.,glass_container_enabled.png
106657,0000-00-00 00:00:00,Berolinerstr. 7/ Karl-Marx-Allee 33,BR Iglus,10178,Berolinerstr. 7/ Karl-Marx-Allee 33,,52.520698,13.423605,10178 Berlin Berolinerstr. 7/ Karl-Marx-Allee 33,glass_container_enabled.png
106658,0000-00-00 00:00:00,Chausseestr./ Schwartzkopffstr.  Nördl Seite,BR Iglus,10115,Chausseestr./ Schwartzkopffstr.  Nördl Seite,,52.534477,13.37838,10115 Berlin Chausseestr./ Schwartzkopffstr.  Nördl Seite,glass_container_enabled.png
106659,0000-00-00 00:00:00,Fischerinsel 2,BR Iglus,10179,Fischerinsel 2,,52.514093,13.408312,10179 Berlin Fischerinsel 2,glass_container_enabled.png
106660,0000-00-00 00:00:00,Fischerinsel 4/5,BR Iglus,10179,Fischerinsel 4/5,,52.512822,13.407776,10179 Berlin Fischerinsel 4/5,glass_container_enabled.png
106661,0000-00-00 00:00:00,Fischerinsel ggü. Nr. 4/5,BR Iglus,10179,Fischerinsel ggü. Nr. 4/5,,52.512703,13.407505,10179 Berlin Fischerinsel ggü. Nr. 4/5,glass_container_enabled.png
106662,0000-00-00 00:00:00,Schwedter Straße 234 / ggü. Marthashof (vor Freizeithaus am Mauerpark),BR Iglus,10435,Schwedter Straße 234 / ggü. Marthashof (vor Freizeithaus am Mauerpark),,52.538089,13.405487,10435 Berlin Schwedter Straße 234 / ggü. Marthashof (vor Freizeithaus am Mauerpark),glass_container_enabled.png
106663,0000-00-00 00:00:00,Gartenstraße / Invalidenstraße,BR Iglus,10115,Gartenstraße / Invalidenstraße,,52.531533,13.390146,10115 Berlin Gartenstraße / Invalidenstraße,glass_container_enabled.png
106664,0000-00-00 00:00:00,Heinrich Heine Str. 1 ggü. Bibliothek,BR Iglus,10179,Heinrich Heine Str. 1 ggü. Bibliothek,,52.51043,13.416163,10179 Berlin Heinrich Heine Str. 1 ggü. Bibliothek,glass_container_enabled.png
106665,0000-00-00 00:00:00,Markgrafenstraße/ Krausenstr.,BR Iglus,10117,Markgrafenstraße/ Krausenstr.,,52.509676,13.393936,10117 Berlin Markgrafenstraße/ Krausenstr.,glass_container_enabled.png
106666,0000-00-00 00:00:00,Keibelstr. 6/ Watzekstr.,BR Iglus,10178,Keibelstr. 6/ Watzekstr.,,52.525121,13.416465,10178 Berlin Keibelstr. 6/ Watzekstr.,glass_container_enabled.png
106667,0000-00-00 00:00:00,Kleine Alexanderstr. 2 ggü. / Rosa-Luxemburg-Platz,BR Iglus,10178,Kleine Alexanderstr. 2 ggü. / Rosa-Luxemburg-Platz,,52.526416,13.412651,10178 Berlin Kleine Alexanderstr. 2 ggü. / Rosa-Luxemburg-Platz,glass_container_enabled.png
106668,0000-00-00 00:00:00,Krausenstr. vor Giebelfront Hochhaus Leipziger Str. 48/49(A.-Springer-Str.),BR Iglus,10117,Krausenstr. vor Giebelfront Hochhaus Leipziger Str. 48/49(A.-Springer-Str.),,52.510047,13.398373,10117 Berlin Krausenstr. vor Giebelfront Hochhaus Leipziger Str. 48/49(A.-Springer-Str.),glass_container_enabled.png
106669,0000-00-00 00:00:00,Kronenstr./ Niederwallstr./Jerusalemer Str.,BR Iglus,10117,Kronenstr./ Niederwallstr./Jerusalemer Str.,,52.511562,13.396901,10117 Berlin Kronenstr./ Niederwallstr./Jerusalemer Str.,glass_container_enabled.png
106670,0000-00-00 00:00:00,Max-Beer-Str./ Schendelgasse vor Kita,BR Iglus,10119,Max-Beer-Str./ Schendelgasse vor Kita,,52.526943,13.408778,10119 Berlin Max-Beer-Str./ Schendelgasse vor Kita,glass_container_enabled.png
106671,0000-00-00 00:00:00,Neue Roßstr. 5 / Neue Jacob Str.,BR Iglus,10179,Neue Roßstr. 5 / Neue Jacob Str.,,52.511008,13.409793,10179 Berlin Neue Roßstr. 5 / Neue Jacob Str.,glass_container_enabled.png
106672,0000-00-00 00:00:00,Oranienburger Straße 17 ggü. Nr. 17 / Mombijoupark,BR Iglus,10178,Oranienburger Straße 17 ggü. Nr. 17 / Mombijoupark,,52.523783,13.39721,10178 Berlin Oranienburger Straße 17 ggü. Nr. 17 / Mombijoupark,glass_container_enabled.png
106673,0000-00-00 00:00:00,Rochstr. 9 ggü. Nr . 9,BR Iglus,10178,Rochstr. 9 ggü. Nr . 9,,52.522073,13.405112,10178 Berlin Rochstr. 9 ggü. Nr . 9,glass_container_enabled.png
106674,0000-00-00 00:00:00,Rosenthaler Str./ Kleine Rosenthaler Str.,BR Iglus,10119,Rosenthaler Str./ Kleine Rosenthaler Str.,,52.527175,13.403457,10119 Berlin Rosenthaler Str./ Kleine Rosenthaler Str.,glass_container_enabled.png
106675,0000-00-00 00:00:00,Scharnhorststr. 7,BR Iglus,10115,Scharnhorststr. 7,,52.532992,13.371784,10115 Berlin Scharnhorststr. 7,glass_container_enabled.png
106676,0000-00-00 00:00:00,Schillingstr. 3/ Singerstr. vor Kaufhalle,BR Iglus,10179,Schillingstr. 3/ Singerstr. vor Kaufhalle,,52.517714,13.420594,10179 Berlin Schillingstr. 3/ Singerstr. vor Kaufhalle,glass_container_enabled.png
106677,0000-00-00 00:00:00,"Schillingstr./ Magazinstr., Freifläche",BR Iglus,10179,"Schillingstr./ Magazinstr., Freifläche",,52.518796,13.421114,"10179 Berlin Schillingstr./ Magazinstr., Freifläche",glass_container_enabled.png
